ID,Full Name,name_strict,strict_key,is_strict_dup,strict_group_size
1,María Sánchez,maria sanchez,maria sanchez,False,8
2,Marta Alonso,marta alonso,marta alonso,False,7
3,Javier González,javier gonzalez,javier gonzalez,False,7
4,Carmen López López,carmen lopez lopez,carmen lopez lopez,False,1
5,Isabel Moreno Moreno,isabel moreno moreno,isabel moreno moreno,False,1
6,María Alonso Ruiz,maria alonso ruiz,maria alonso ruiz,False,2
7,Col. Ana González Muñoz,col ana gonzalez munoz,col ana gonzalez munoz,False,1
8,Carmen  Díaz,carmen diaz,carmen diaz,False,6
9,Pablo Hernández Gutiérrez,pablo hernandez gutierrez,pablo hernandez gutierrez,False,1
10,Luis López Hernández,luis lopez hernandez,luis lopez hernandez,False,1
11,Lucía Martín Gómez,lucia martin gomez,lucia martin gomez,False,2
12,María Alonso Romero,maria alonso romero,maria alonso romero,False,1
13,Ana González Muñoz,ana gonzalez munoz,ana gonzalez munoz,False,1
14,Mg. Pablo Álvarez Hernández,mg pablo alvarez hernandez,mg pablo alvarez hernandez,False,1
15,Marta Pérez,marta perez,marta perez,False,5
16,Luis Álvarez Ruiz,luis alvarez ruiz,luis alvarez ruiz,False,1
17,María Jiménez,maria jimenez,maria jimenez,False,11
18,Pilar Jiménez Gómez,pilar jimenez gomez,pilar jimenez gomez,False,1
19,Francisco Álvarez,francisco alvarez,francisco alvarez,False,8
20,Luis Jiménez,luis jimenez,luis jimenez,False,5
21,Lucía López,lucia lopez,lucia lopez,False,7
22,Isabel R(odríguez García,isabel r odriguez garcia,isabel r odriguez garcia,False,1
23,Carlos Romero Martín,carlos romero martin,carlos romero martin,False,1
24,Sofía Díaz,sofia diaz,sofia diaz,False,6
25,Marta Sánchez,marta sanchez,marta sanchez,False,13
26,Isabel Romero,isabel romero,isabel romero,False,3
27,Luis Hernández,luis hernandez,luis hernandez,False,7
28,María Martínez,maria martinez,maria martinez,False,11
29,Elena Hernández,elena hernandez,elena hernandez,False,5
30,Rafael López,rafael lopez,rafael lopez,False,7
31,Marta Martín Martínez,marta martin martinez,marta martin martinez,False,2
32,Sofía Martínez Gómez,sofia martinez gomez,sofia martinez gomez,False,1
33,Isabel Sánchez Ruiz,isabel sanchez ruiz,isabel sanchez ruiz,False,2
34,María García Alonso,maria garcia alonso,maria garcia alonso,False,3
35,Pilar Hernández,pilar hernandez,pilar hernandez,False,9
36,Carmen Díaz,carmen diaz,carmen diaz,True,6
37,María Sánchez,maria sanchez,maria sanchez,True,8
38,Lucía Díaz Jiménez,lucia diaz jimenez,lucia diaz jimenez,False,1
39,Rafael Rodríguez Martín,rafael rodriguez martin,rafael rodriguez martin,False,2
40,Isabel Pérez Ruiz,isabel perez ruiz,isabel perez ruiz,False,2
41,Sra. Fernando Díaz Álvarez,fernando diaz alvarez,fernando diaz alvarez,False,1
42,Elena Romero,elena romero,elena romero,False,7
43,Lucía Sánchez Sánchez,lucia sanchez sanchez,lucia sanchez sanchez,False,1
44,Carmen García,carmen garcia,carmen garcia,False,4
45,Lic. Francisco Álvarez Romero,francisco alvarez romero,francisco alvarez romero,False,1
46,Pilar  Alonso,pilar alonso,pilar alonso,False,3
47,Dr. Ana Álvarez Fernández,ana alvarez fernandez,ana alvarez fernandez,False,2
48,Rafael Martínez Gómez,rafael martinez gomez,rafael martinez gomez,False,2
49,Pedro Alonso,pedro alonso,pedro alonso,False,6
50,Javier Fernández Hernández,javier fernandez hernandez,javier fernandez hernandez,False,2
51,Pablo Fernández Fernández,pablo fernandez fernandez,pablo fernandez fernandez,False,2
52,María Díaz,maria diaz,maria diaz,False,5
53,Pedro Alonso,pedro alonso,pedro alonso,True,6
54,Teresa Álvarez Gómez,teresa alvarez gomez,teresa alvarez gomez,False,2
55,Dr. Ana Romero,ana romero,ana romero,False,6
56,María Hernández,maria hernandez,maria hernandez,False,5
57,Rafael García,rafael garcia,rafael garcia,False,4
58,Ana Martín,ana martin,ana martin,False,3
59,Pedro Fernández Rodríguez,pedro fernandez rodriguez,pedro fernandez rodriguez,False,1
60,Pablo Gutiérrez Pérez,pablo gutierrez perez,pablo gutierrez perez,False,1
61,Pedro González Pérez,pedro gonzalez perez,pedro gonzalez perez,False,1
62,Pablo Ruiz Hernández,pablo ruiz hernandez,pablo ruiz hernandez,False,2
63,Carlos Pérez,carlos perez,carlos perez,False,4
64,Pilar Sánchez,pilar sanchez,pilar sanchez,False,12
65,Juan Muñoz,juan munoz,juan munoz,False,8
66,Carlos Álvarez,carlos alvarez,carlos alvarez,False,2
67,Luis Díaz,luis diaz,luis diaz,False,7
68,Dr. Teresa Díaz,teresa diaz,teresa diaz,False,4
69,Pablo Romero Moreno,pablo romero moreno,pablo romero moreno,False,1
70,Lic. Marta Rodríguez,marta rodriguez,marta rodriguez,False,4
71,María Alonso Alonso,maria alonso alonso,maria alonso alonso,False,1
72,Pedro López Alonso,pedro lopez alonso,pedro lopez alonso,False,1
73,Rafael Romero,rafael romero,rafael romero,False,7
74,José Jiménez Jiménez,jose jimenez jimenez,jose jimenez jimenez,False,1
75,Marta+ Gómez,marta gomez,marta gomez,False,5
76,Lucía Ruiz Gutiérrez,lucia ruiz gutierrez,lucia ruiz gutierrez,False,1
77,Javier Alonso Moreno,javier alonso moreno,javier alonso moreno,False,2
78,José Alonso,jose alonso,jose alonso,False,2
79,Javier Sánchez Martínez,javier sanchez martinez,javier sanchez martinez,False,1
80,Luis Muñoz Sánchez,luis munoz sanchez,luis munoz sanchez,False,1
81,Juan Díaz García,juan diaz garcia,juan diaz garcia,False,1
82,Javier Gutiérrez,javier gutierrez,javier gutierrez,False,9
83,Carlos Jiménez,carlos jimenez,carlos jimenez,False,5
84,María Pérez,maria perez,maria perez,False,8
85,Carlos Muñoz,carlos munoz,carlos munoz,False,6
86,Rafael Muñoz,rafael munoz,rafael munoz,False,10
87,Carlos Moreno,carlos moreno,carlos moreno,False,6
88,Pilar Martínez García,pilar martinez garcia,pilar martinez garcia,False,1
89,María Romero Martín,maria romero martin,maria romero martin,False,2
